"model_name","id","AIC","horizon","pred","actual"
"9ni",23,-644.805693677135,60,-9.62977492866755e-32,0
"2i",23,-1119.93286653304,80,-0.0014612158400895,0
"2ni",23,-1119.13004160416,80,-0.000952669303503018,0
"3i",23,-1129.374984451,80,0.00208101834391487,0
"3ni",23,-1143.4321912709,80,-0.000143352104727386,0
"4i",23,-1132.54329868493,80,-0.00518325943616378,0
"4ni",23,-1151.52644516107,80,-0.0104752375034116,0
"9ni",23,-1045.99633319888,80,-2.83852064787332e-21,0
"2i",24,16.2508430701582,40,0.211503967467423,0
"2ni",24,12.6335342596726,40,0.212948351619244,0
"3i",24,19.9908234820355,40,0.138611776817136,0
"3ni",24,20.7412447915358,40,0.201332498221889,0
"4i",24,32.4091628109342,40,0.102361292988223,0
"4ni",24,22.9714380738605,40,0.197135033905503,0
